ImplementationVersion,FamilyKey,Family,ConfigurationID,Method,Backbone,InternalMethod,RatioKey,Ratio,Run,OuterFold,N_Train_Source,N_Train_Final,N_Real,N_Synthetic,N_Train_NonInteraction,N_Train_Interaction,Scaler_Fit_N,N_Validation,N_Test,Final_Train_Loss,Final_Train_Accuracy,Final_Val_Loss,Final_Val_Accuracy,Fit_Seconds,Status
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,1,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.0020596287213265896,0.9994164109230042,0.07493751496076584,0.9887673258781433,10.239678621292114,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,1,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0004882963839918375,0.9998905658721924,0.07684626430273056,0.9894967079162598,12.651827335357666,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,1,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.0015253119636327028,0.9995623230934143,0.07469492405653,0.9908096194267273,12.769988536834717,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,1,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.002104939892888069,0.9995258450508118,0.06100495532155037,0.9906637668609619,12.780293703079224,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,1,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.001748282229527831,0.9994164109230042,0.07254456728696823,0.9903720021247864,12.478705167770386,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,2,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.0010581023525446653,0.9996352791786194,0.09232981503009796,0.9890590906143188,12.187524795532227,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,2,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0032787665259093046,0.9992340803146362,0.05369643494486809,0.9900802373886108,12.385493993759155,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,2,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.003623188706114888,0.9989422559738159,0.06666433811187744,0.9909555315971375,12.075308322906494,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,2,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.0015447023324668407,0.9994528889656067,0.08142660558223724,0.9909555315971375,12.145349025726318,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,2,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0029170233756303787,0.999270498752594,0.060320787131786346,0.9911013841629028,12.461104393005371,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,3,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.001480618491768837,0.9995258450508118,0.09421434998512268,0.9889131784439087,11.809325933456421,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,3,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.001871266053058207,0.9996717572212219,0.0680069848895073,0.9894967079162598,11.828609704971313,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,3,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.0028169872239232063,0.9990516901016235,0.07021889835596085,0.9900802373886108,12.237297296524048,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,3,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.0023318855091929436,0.999270498752594,0.05668182671070099,0.9921225309371948,12.366240739822388,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,3,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0021125441417098045,0.9995258450508118,0.05315445736050606,0.9908096194267273,11.923892736434937,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,4,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.0019253992941230536,0.9995258450508118,0.09115073084831238,0.9893508553504944,12.317741394042969,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,4,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.0015734684420749545,0.999744713306427,0.07519347965717316,0.9897884726524353,12.201821088790894,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,4,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.0018836100352928042,0.9994164109230042,0.06802700459957123,0.9903720021247864,11.414345741271973,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,4,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.0032138077076524496,0.9990881681442261,0.06283688545227051,0.9909555315971375,12.140448331832886,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,4,5,27417,27417,27417,0,26473,944,27417,6855,8568,0.0014833442401140928,0.9994893670082092,0.07689690589904785,0.9908096194267273,12.557312250137329,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,5,1,27417,27417,27417,0,26472,945,27417,6855,8568,0.004594632890075445,0.9991246461868286,0.08155162632465363,0.9893508553504944,12.298635482788086,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,5,2,27417,27417,27417,0,26472,945,27417,6855,8568,0.004615464247763157,0.9985410571098328,0.058824170380830765,0.9902260899543762,12.281846761703491,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,5,3,27417,27417,27417,0,26472,945,27417,6855,8568,0.0034977213945239782,0.9989422559738159,0.06098955497145653,0.9899343252182007,12.381781578063965,PASS
dnn_oof_v1_fixed_5fold_10run_73configs,ion_channel,Ion Channel,MSCMF__NoDA__NO_DA,MSCMF (No DA),MSCMF,NoDA,NO_DA,No aug.,5,4,27417,27417,27417,0,26472,945,27417,6855,8568,0.004085963126271963,0.9988328218460083,0.0599810928106308,0.9916849136352539,12.973050117492676,PASS
