pair_id,family,compound_id,protein_id,compound_index,protein_index,y_row,y_col,y
GPCR_00000001,gpcr,D00049,hsa10161,0,0,0,0,0
GPCR_00000002,gpcr,D00059,hsa10161,1,0,0,1,0
GPCR_00000003,gpcr,D00079,hsa10161,2,0,0,2,0
GPCR_00000004,gpcr,D00094,hsa10161,3,0,0,3,0
GPCR_00000005,gpcr,D00095,hsa10161,4,0,0,4,0
GPCR_00000006,gpcr,D00106,hsa10161,5,0,0,5,0
GPCR_00000007,gpcr,D00110,hsa10161,6,0,0,6,0
GPCR_00000008,gpcr,D00113,hsa10161,7,0,0,7,0
GPCR_00000009,gpcr,D00136,hsa10161,8,0,0,8,0
GPCR_00000010,gpcr,D00139,hsa10161,9,0,0,9,0
GPCR_00000011,gpcr,D00180,hsa10161,10,0,0,10,0
GPCR_00000012,gpcr,D00225,hsa10161,11,0,0,11,0
GPCR_00000013,gpcr,D00227,hsa10161,12,0,0,12,0
GPCR_00000014,gpcr,D00232,hsa10161,13,0,0,13,0
GPCR_00000015,gpcr,D00234,hsa10161,14,0,0,14,0
GPCR_00000016,gpcr,D00235,hsa10161,15,0,0,15,0
GPCR_00000017,gpcr,D00241,hsa10161,16,0,0,16,0
GPCR_00000018,gpcr,D00255,hsa10161,17,0,0,17,0
GPCR_00000019,gpcr,D00270,hsa10161,18,0,0,18,0
GPCR_00000020,gpcr,D00274,hsa10161,19,0,0,19,0
GPCR_00000021,gpcr,D00281,hsa10161,20,0,0,20,0
GPCR_00000022,gpcr,D00283,hsa10161,21,0,0,21,0
GPCR_00000023,gpcr,D00295,hsa10161,22,0,0,22,0
GPCR_00000024,gpcr,D00300,hsa10161,23,0,0,23,0
GPCR_00000025,gpcr,D00301,hsa10161,24,0,0,24,0
GPCR_00000026,gpcr,D00306,hsa10161,25,0,0,25,0
GPCR_00000027,gpcr,D00318,hsa10161,26,0,0,26,0
GPCR_00000028,gpcr,D00332,hsa10161,27,0,0,27,0
GPCR_00000029,gpcr,D00336,hsa10161,28,0,0,28,0
GPCR_00000030,gpcr,D00356,hsa10161,29,0,0,29,0
GPCR_00000031,gpcr,D00364,hsa10161,30,0,0,30,0
GPCR_00000032,gpcr,D00371,hsa10161,31,0,0,31,0
GPCR_00000033,gpcr,D00380,hsa10161,32,0,0,32,0
GPCR_00000034,gpcr,D00394,hsa10161,33,0,0,33,0
GPCR_00000035,gpcr,D00397,hsa10161,34,0,0,34,0
GPCR_00000036,gpcr,D00400,hsa10161,35,0,0,35,0
GPCR_00000037,gpcr,D00410,hsa10161,36,0,0,36,0
GPCR_00000038,gpcr,D00411,hsa10161,37,0,0,37,0
GPCR_00000039,gpcr,D00415,hsa10161,38,0,0,38,0
GPCR_00000040,gpcr,D00419,hsa10161,39,0,0,39,0
GPCR_00000041,gpcr,D00422,hsa10161,40,0,0,40,0
GPCR_00000042,gpcr,D00426,hsa10161,41,0,0,41,0
GPCR_00000043,gpcr,D00432,hsa10161,42,0,0,42,0
GPCR_00000044,gpcr,D00437,hsa10161,43,0,0,43,0
GPCR_00000045,gpcr,D00440,hsa10161,44,0,0,44,0
GPCR_00000046,gpcr,D00442,hsa10161,45,0,0,45,0
GPCR_00000047,gpcr,D00443,hsa10161,46,0,0,46,0
GPCR_00000048,gpcr,D00451,hsa10161,47,0,0,47,0
GPCR_00000049,gpcr,D00454,hsa10161,48,0,0,48,0
GPCR_00000050,gpcr,D00465,hsa10161,49,0,0,49,0
GPCR_00000051,gpcr,D00480,hsa10161,50,0,0,50,0
GPCR_00000052,gpcr,D00483,hsa10161,51,0,0,51,0
GPCR_00000053,gpcr,D00493,hsa10161,52,0,0,52,0
GPCR_00000054,gpcr,D00494,hsa10161,53,0,0,53,0
GPCR_00000055,gpcr,D00498,hsa10161,54,0,0,54,0
GPCR_00000056,gpcr,D00499,hsa10161,55,0,0,55,0
GPCR_00000057,gpcr,D00503,hsa10161,56,0,0,56,0
GPCR_00000058,gpcr,D00509,hsa10161,57,0,0,57,0
GPCR_00000059,gpcr,D00513,hsa10161,58,0,0,58,0
GPCR_00000060,gpcr,D00514,hsa10161,59,0,0,59,0
GPCR_00000061,gpcr,D00520,hsa10161,60,0,0,60,0
GPCR_00000062,gpcr,D00521,hsa10161,61,0,0,61,0
