pair_id,family,compound_id,protein_id,compound_index,protein_index,y_row,y_col,y
ENZ_00000001,enzyme,D00002,hsa10,0,0,0,0,1
ENZ_00000002,enzyme,D00005,hsa10,1,0,0,1,0
ENZ_00000003,enzyme,D00007,hsa10,2,0,0,2,0
ENZ_00000004,enzyme,D00014,hsa10,3,0,0,3,0
ENZ_00000005,enzyme,D00018,hsa10,4,0,0,4,0
ENZ_00000006,enzyme,D00021,hsa10,5,0,0,5,0
ENZ_00000007,enzyme,D00027,hsa10,6,0,0,6,0
ENZ_00000008,enzyme,D00029,hsa10,7,0,0,7,0
ENZ_00000009,enzyme,D00032,hsa10,8,0,0,8,0
ENZ_00000010,enzyme,D00035,hsa10,9,0,0,9,0
ENZ_00000011,enzyme,D00036,hsa10,10,0,0,10,0
ENZ_00000012,enzyme,D00037,hsa10,11,0,0,11,0
ENZ_00000013,enzyme,D00038,hsa10,12,0,0,12,0
ENZ_00000014,enzyme,D00039,hsa10,13,0,0,13,0
ENZ_00000015,enzyme,D00041,hsa10,14,0,0,14,0
ENZ_00000016,enzyme,D00043,hsa10,15,0,0,15,0
ENZ_00000017,enzyme,D00045,hsa10,16,0,0,16,0
ENZ_00000018,enzyme,D00049,hsa10,17,0,0,17,0
ENZ_00000019,enzyme,D00050,hsa10,18,0,0,18,0
ENZ_00000020,enzyme,D00052,hsa10,19,0,0,19,0
ENZ_00000021,enzyme,D00054,hsa10,20,0,0,20,0
ENZ_00000022,enzyme,D00055,hsa10,21,0,0,21,0
ENZ_00000023,enzyme,D00065,hsa10,22,0,0,22,0
ENZ_00000024,enzyme,D00070,hsa10,23,0,0,23,0
ENZ_00000025,enzyme,D00086,hsa10,24,0,0,24,0
ENZ_00000026,enzyme,D00094,hsa10,25,0,0,25,0
ENZ_00000027,enzyme,D00097,hsa10,26,0,0,26,0
ENZ_00000028,enzyme,D00103,hsa10,27,0,0,27,0
ENZ_00000029,enzyme,D00107,hsa10,28,0,0,28,0
ENZ_00000030,enzyme,D00109,hsa10,29,0,0,29,0
ENZ_00000031,enzyme,D00118,hsa10,30,0,0,30,0
ENZ_00000032,enzyme,D00120,hsa10,31,0,0,31,0
ENZ_00000033,enzyme,D00125,hsa10,32,0,0,32,0
ENZ_00000034,enzyme,D00126,hsa10,33,0,0,33,0
ENZ_00000035,enzyme,D00127,hsa10,34,0,0,34,0
ENZ_00000036,enzyme,D00129,hsa10,35,0,0,35,0
ENZ_00000037,enzyme,D00130,hsa10,36,0,0,36,0
ENZ_00000038,enzyme,D00131,hsa10,37,0,0,37,0
ENZ_00000039,enzyme,D00132,hsa10,38,0,0,38,0
ENZ_00000040,enzyme,D00136,hsa10,39,0,0,39,0
ENZ_00000041,enzyme,D00139,hsa10,40,0,0,40,0
ENZ_00000042,enzyme,D00141,hsa10,41,0,0,41,0
ENZ_00000043,enzyme,D00142,hsa10,42,0,0,42,0
ENZ_00000044,enzyme,D00145,hsa10,43,0,0,43,0
ENZ_00000045,enzyme,D00148,hsa10,44,0,0,44,0
ENZ_00000046,enzyme,D00151,hsa10,45,0,0,45,0
ENZ_00000047,enzyme,D00153,hsa10,46,0,0,46,0
ENZ_00000048,enzyme,D00155,hsa10,47,0,0,47,0
ENZ_00000049,enzyme,D00158,hsa10,48,0,0,48,0
ENZ_00000050,enzyme,D00160,hsa10,49,0,0,49,0
ENZ_00000051,enzyme,D00168,hsa10,50,0,0,50,0
ENZ_00000052,enzyme,D00169,hsa10,51,0,0,51,0
ENZ_00000053,enzyme,D00183,hsa10,52,0,0,52,0
ENZ_00000054,enzyme,D00184,hsa10,53,0,0,53,0
ENZ_00000055,enzyme,D00185,hsa10,54,0,0,54,0
ENZ_00000056,enzyme,D00186,hsa10,55,0,0,55,0
ENZ_00000057,enzyme,D00187,hsa10,56,0,0,56,0
ENZ_00000058,enzyme,D00188,hsa10,57,0,0,57,0
ENZ_00000059,enzyme,D00196,hsa10,58,0,0,58,0
ENZ_00000060,enzyme,D00198,hsa10,59,0,0,59,0
ENZ_00000061,enzyme,D00203,hsa10,60,0,0,60,0
ENZ_00000062,enzyme,D00208,hsa10,61,0,0,61,0
ENZ_00000063,enzyme,D00216,hsa10,62,0,0,62,0
ENZ_00000064,enzyme,D00217,hsa10,63,0,0,63,0
ENZ_00000065,enzyme,D00218,hsa10,64,0,0,64,0
ENZ_00000066,enzyme,D00219,hsa10,65,0,0,65,0
ENZ_00000067,enzyme,D00222,hsa10,66,0,0,66,0
ENZ_00000068,enzyme,D00224,hsa10,67,0,0,67,0
ENZ_00000069,enzyme,D00225,hsa10,68,0,0,68,0
ENZ_00000070,enzyme,D00227,hsa10,69,0,0,69,0
ENZ_00000071,enzyme,D00231,hsa10,70,0,0,70,0
ENZ_00000072,enzyme,D00234,hsa10,71,0,0,71,0
ENZ_00000073,enzyme,D00251,hsa10,72,0,0,72,0
ENZ_00000074,enzyme,D00252,hsa10,73,0,0,73,0
ENZ_00000075,enzyme,D00270,hsa10,74,0,0,74,0
ENZ_00000076,enzyme,D00274,hsa10,75,0,0,75,0
ENZ_00000077,enzyme,D00279,hsa10,76,0,0,76,0
ENZ_00000078,enzyme,D00283,hsa10,77,0,0,77,0
ENZ_00000079,enzyme,D00285,hsa10,78,0,0,78,0
ENZ_00000080,enzyme,D00293,hsa10,79,0,0,79,0
ENZ_00000081,enzyme,D00294,hsa10,80,0,0,80,0
ENZ_00000082,enzyme,D00298,hsa10,81,0,0,81,0
ENZ_00000083,enzyme,D00300,hsa10,82,0,0,82,0
ENZ_00000084,enzyme,D00315,hsa10,83,0,0,83,0
ENZ_00000085,enzyme,D00317,hsa10,84,0,0,84,0
ENZ_00000086,enzyme,D00322,hsa10,85,0,0,85,0
ENZ_00000087,enzyme,D00324,hsa10,86,0,0,86,0
ENZ_00000088,enzyme,D00325,hsa10,87,0,0,87,0
ENZ_00000089,enzyme,D00328,hsa10,88,0,0,88,0
ENZ_00000090,enzyme,D00330,hsa10,89,0,0,89,0
ENZ_00000091,enzyme,D00332,hsa10,90,0,0,90,0
ENZ_00000092,enzyme,D00333,hsa10,91,0,0,91,0
ENZ_00000093,enzyme,D00340,hsa10,92,0,0,92,0
ENZ_00000094,enzyme,D00342,hsa10,93,0,0,93,0
ENZ_00000095,enzyme,D00359,hsa10,94,0,0,94,0
ENZ_00000096,enzyme,D00362,hsa10,95,0,0,95,0
ENZ_00000097,enzyme,D00364,hsa10,96,0,0,96,0
ENZ_00000098,enzyme,D00369,hsa10,97,0,0,97,0
ENZ_00000099,enzyme,D00371,hsa10,98,0,0,98,0
ENZ_00000100,enzyme,D00377,hsa10,99,0,0,99,0
ENZ_00000101,enzyme,D00380,hsa10,100,0,0,100,0
ENZ_00000102,enzyme,D00383,hsa10,101,0,0,101,0
ENZ_00000103,enzyme,D00387,hsa10,102,0,0,102,0
ENZ_00000104,enzyme,D00391,hsa10,103,0,0,103,0
ENZ_00000105,enzyme,D00394,hsa10,104,0,0,104,0
ENZ_00000106,enzyme,D00398,hsa10,105,0,0,105,0
ENZ_00000107,enzyme,D00401,hsa10,106,0,0,106,0
ENZ_00000108,enzyme,D00410,hsa10,107,0,0,107,0
ENZ_00000109,enzyme,D00414,hsa10,108,0,0,108,0
