pair_id,family,compound_id,protein_id,compound_index,protein_index,y_row,y_col,y
IC_00000001,ion_channel,D00035,hsa10008,0,0,0,0,0
IC_00000002,ion_channel,D00110,hsa10008,1,0,0,1,0
IC_00000003,ion_channel,D00136,hsa10008,2,0,0,2,0
IC_00000004,ion_channel,D00195,hsa10008,3,0,0,3,0
IC_00000005,ion_channel,D00219,hsa10008,4,0,0,4,0
IC_00000006,ion_channel,D00225,hsa10008,5,0,0,5,0
IC_00000007,ion_channel,D00227,hsa10008,6,0,0,6,0
IC_00000008,ion_channel,D00228,hsa10008,7,0,0,7,0
IC_00000009,ion_channel,D00234,hsa10008,8,0,0,8,0
IC_00000010,ion_channel,D00252,hsa10008,9,0,0,9,0
IC_00000011,ion_channel,D00274,hsa10008,10,0,0,10,0
IC_00000012,ion_channel,D00283,hsa10008,11,0,0,11,0
IC_00000013,ion_channel,D00293,hsa10008,12,0,0,12,0
IC_00000014,ion_channel,D00294,hsa10008,13,0,0,13,1
IC_00000015,ion_channel,D00303,hsa10008,14,0,0,14,0
IC_00000016,ion_channel,D00319,hsa10008,15,0,0,15,0
IC_00000017,ion_channel,D00326,hsa10008,16,0,0,16,0
IC_00000018,ion_channel,D00329,hsa10008,17,0,0,17,0
IC_00000019,ion_channel,D00331,hsa10008,18,0,0,18,0
IC_00000020,ion_channel,D00332,hsa10008,19,0,0,19,0
IC_00000021,ion_channel,D00335,hsa10008,20,0,0,20,0
IC_00000022,ion_channel,D00336,hsa10008,21,0,0,21,0
IC_00000023,ion_channel,D00338,hsa10008,22,0,0,22,0
IC_00000024,ion_channel,D00340,hsa10008,23,0,0,23,0
IC_00000025,ion_channel,D00345,hsa10008,24,0,0,24,0
IC_00000026,ion_channel,D00349,hsa10008,25,0,0,25,0
IC_00000027,ion_channel,D00351,hsa10008,26,0,0,26,0
IC_00000028,ion_channel,D00354,hsa10008,27,0,0,27,0
IC_00000029,ion_channel,D00358,hsa10008,28,0,0,28,0
IC_00000030,ion_channel,D00364,hsa10008,29,0,0,29,0
IC_00000031,ion_channel,D00367,hsa10008,30,0,0,30,0
IC_00000032,ion_channel,D00373,hsa10008,31,0,0,31,0
IC_00000033,ion_channel,D00379,hsa10008,32,0,0,32,0
IC_00000034,ion_channel,D00380,hsa10008,33,0,0,33,0
IC_00000035,ion_channel,D00392,hsa10008,34,0,0,34,0
IC_00000036,ion_channel,D00394,hsa10008,35,0,0,35,0
IC_00000037,ion_channel,D00418,hsa10008,36,0,0,36,0
IC_00000038,ion_channel,D00437,hsa10008,37,0,0,37,0
IC_00000039,ion_channel,D00438,hsa10008,38,0,0,38,0
IC_00000040,ion_channel,D00451,hsa10008,39,0,0,39,0
IC_00000041,ion_channel,D00456,hsa10008,40,0,0,40,0
IC_00000042,ion_channel,D00464,hsa10008,41,0,0,41,0
IC_00000043,ion_channel,D00474,hsa10008,42,0,0,42,0
IC_00000044,ion_channel,D00477,hsa10008,43,0,0,43,0
IC_00000045,ion_channel,D00480,hsa10008,44,0,0,44,0
IC_00000046,ion_channel,D00495,hsa10008,45,0,0,45,0
IC_00000047,ion_channel,D00499,hsa10008,46,0,0,46,0
IC_00000048,ion_channel,D00504,hsa10008,47,0,0,47,0
IC_00000049,ion_channel,D00512,hsa10008,48,0,0,48,0
IC_00000050,ion_channel,D00513,hsa10008,49,0,0,49,0
IC_00000051,ion_channel,D00519,hsa10008,50,0,0,50,0
IC_00000052,ion_channel,D00521,hsa10008,51,0,0,51,0
IC_00000053,ion_channel,D00524,hsa10008,52,0,0,52,0
IC_00000054,ion_channel,D00528,hsa10008,53,0,0,53,0
IC_00000055,ion_channel,D00530,hsa10008,54,0,0,54,0
IC_00000056,ion_channel,D00533,hsa10008,55,0,0,55,0
IC_00000057,ion_channel,D00536,hsa10008,56,0,0,56,0
IC_00000058,ion_channel,D00537,hsa10008,57,0,0,57,0
IC_00000059,ion_channel,D00538,hsa10008,58,0,0,58,0
IC_00000060,ion_channel,D00539,hsa10008,59,0,0,59,0
IC_00000061,ion_channel,D00542,hsa10008,60,0,0,60,0
IC_00000062,ion_channel,D00543,hsa10008,61,0,0,61,0
IC_00000063,ion_channel,D00544,hsa10008,62,0,0,62,0
IC_00000064,ion_channel,D00545,hsa10008,63,0,0,63,0
IC_00000065,ion_channel,D00546,hsa10008,64,0,0,64,0
IC_00000066,ion_channel,D00547,hsa10008,65,0,0,65,0
IC_00000067,ion_channel,D00548,hsa10008,66,0,0,66,0
IC_00000068,ion_channel,D00549,hsa10008,67,0,0,67,0
IC_00000069,ion_channel,D00550,hsa10008,68,0,0,68,0
IC_00000070,ion_channel,D00552,hsa10008,69,0,0,69,0
IC_00000071,ion_channel,D00553,hsa10008,70,0,0,70,0
IC_00000072,ion_channel,D00560,hsa10008,71,0,0,71,0
IC_00000073,ion_channel,D00563,hsa10008,72,0,0,72,0
IC_00000074,ion_channel,D00574,hsa10008,73,0,0,73,0
IC_00000075,ion_channel,D00593,hsa10008,74,0,0,74,0
IC_00000076,ion_channel,D00594,hsa10008,75,0,0,75,0
IC_00000077,ion_channel,D00607,hsa10008,76,0,0,76,0
