pair_id,family,compound_id,protein_id,compound_index,protein_index,y_row,y_col,y
NR_00000001,nuclear_receptor,D00040,hsa190,0,0,0,0,0
NR_00000002,nuclear_receptor,D00066,hsa190,1,0,0,1,0
NR_00000003,nuclear_receptor,D00067,hsa190,2,0,0,2,0
NR_00000004,nuclear_receptor,D00075,hsa190,3,0,0,3,0
NR_00000005,nuclear_receptor,D00088,hsa190,4,0,0,4,0
NR_00000006,nuclear_receptor,D00094,hsa190,5,0,0,5,1
NR_00000007,nuclear_receptor,D00105,hsa190,6,0,0,6,0
NR_00000008,nuclear_receptor,D00129,hsa190,7,0,0,7,0
NR_00000009,nuclear_receptor,D00143,hsa190,8,0,0,8,0
NR_00000010,nuclear_receptor,D00163,hsa190,9,0,0,9,0
NR_00000011,nuclear_receptor,D00182,hsa190,10,0,0,10,0
NR_00000012,nuclear_receptor,D00187,hsa190,11,0,0,11,0
NR_00000013,nuclear_receptor,D00188,hsa190,12,0,0,12,0
NR_00000014,nuclear_receptor,D00211,hsa190,13,0,0,13,0
NR_00000015,nuclear_receptor,D00246,hsa190,14,0,0,14,0
NR_00000016,nuclear_receptor,D00279,hsa190,15,0,0,15,0
NR_00000017,nuclear_receptor,D00299,hsa190,16,0,0,16,0
NR_00000018,nuclear_receptor,D00312,hsa190,17,0,0,17,0
NR_00000019,nuclear_receptor,D00316,hsa190,18,0,0,18,0
NR_00000020,nuclear_receptor,D00327,hsa190,19,0,0,19,0
NR_00000021,nuclear_receptor,D00348,hsa190,20,0,0,20,0
NR_00000022,nuclear_receptor,D00443,hsa190,21,0,0,21,0
NR_00000023,nuclear_receptor,D00462,hsa190,22,0,0,22,0
NR_00000024,nuclear_receptor,D00506,hsa190,23,0,0,23,0
NR_00000025,nuclear_receptor,D00554,hsa190,24,0,0,24,0
NR_00000026,nuclear_receptor,D00565,hsa190,25,0,0,25,0
NR_00000027,nuclear_receptor,D00577,hsa190,26,0,0,26,0
NR_00000028,nuclear_receptor,D00585,hsa190,27,0,0,27,0
NR_00000029,nuclear_receptor,D00586,hsa190,28,0,0,28,0
NR_00000030,nuclear_receptor,D00596,hsa190,29,0,0,29,0
NR_00000031,nuclear_receptor,D00627,hsa190,30,0,0,30,0
NR_00000032,nuclear_receptor,D00690,hsa190,31,0,0,31,0
NR_00000033,nuclear_receptor,D00730,hsa190,32,0,0,32,0
NR_00000034,nuclear_receptor,D00898,hsa190,33,0,0,33,0
NR_00000035,nuclear_receptor,D00930,hsa190,34,0,0,34,0
NR_00000036,nuclear_receptor,D00950,hsa190,35,0,0,35,0
NR_00000037,nuclear_receptor,D00951,hsa190,36,0,0,36,0
NR_00000038,nuclear_receptor,D00954,hsa190,37,0,0,37,0
NR_00000039,nuclear_receptor,D00956,hsa190,38,0,0,38,0
NR_00000040,nuclear_receptor,D00961,hsa190,39,0,0,39,0
NR_00000041,nuclear_receptor,D00962,hsa190,40,0,0,40,0
NR_00000042,nuclear_receptor,D00965,hsa190,41,0,0,41,0
NR_00000043,nuclear_receptor,D01115,hsa190,42,0,0,42,0
NR_00000044,nuclear_receptor,D01132,hsa190,43,0,0,43,0
NR_00000045,nuclear_receptor,D01161,hsa190,44,0,0,44,0
NR_00000046,nuclear_receptor,D01217,hsa190,45,0,0,45,0
NR_00000047,nuclear_receptor,D01294,hsa190,46,0,0,46,0
NR_00000048,nuclear_receptor,D01387,hsa190,47,0,0,47,0
NR_00000049,nuclear_receptor,D01441,hsa190,48,0,0,48,0
NR_00000050,nuclear_receptor,D01689,hsa190,49,0,0,49,0
NR_00000051,nuclear_receptor,D02217,hsa190,50,0,0,50,0
NR_00000052,nuclear_receptor,D02367,hsa190,51,0,0,51,0
NR_00000053,nuclear_receptor,D04066,hsa190,52,0,0,52,0
NR_00000054,nuclear_receptor,D05341,hsa190,53,0,0,53,0
NR_00000055,nuclear_receptor,D00040,hsa2099,0,1,1,0,0
NR_00000056,nuclear_receptor,D00066,hsa2099,1,1,1,1,1
NR_00000057,nuclear_receptor,D00067,hsa2099,2,1,1,2,1
NR_00000058,nuclear_receptor,D00075,hsa2099,3,1,1,3,0
NR_00000059,nuclear_receptor,D00088,hsa2099,4,1,1,4,0
NR_00000060,nuclear_receptor,D00094,hsa2099,5,1,1,5,0
NR_00000061,nuclear_receptor,D00105,hsa2099,6,1,1,6,1
NR_00000062,nuclear_receptor,D00129,hsa2099,7,1,1,7,0
NR_00000063,nuclear_receptor,D00143,hsa2099,8,1,1,8,0
NR_00000064,nuclear_receptor,D00163,hsa2099,9,1,1,9,0
NR_00000065,nuclear_receptor,D00182,hsa2099,10,1,1,10,0
NR_00000066,nuclear_receptor,D00187,hsa2099,11,1,1,11,0
NR_00000067,nuclear_receptor,D00188,hsa2099,12,1,1,12,0
NR_00000068,nuclear_receptor,D00211,hsa2099,13,1,1,13,0
NR_00000069,nuclear_receptor,D00246,hsa2099,14,1,1,14,0
NR_00000070,nuclear_receptor,D00279,hsa2099,15,1,1,15,0
NR_00000071,nuclear_receptor,D00299,hsa2099,16,1,1,16,0
NR_00000072,nuclear_receptor,D00312,hsa2099,17,1,1,17,1
NR_00000073,nuclear_receptor,D00316,hsa2099,18,1,1,18,0
NR_00000074,nuclear_receptor,D00327,hsa2099,19,1,1,19,1
NR_00000075,nuclear_receptor,D00348,hsa2099,20,1,1,20,0
NR_00000076,nuclear_receptor,D00443,hsa2099,21,1,1,21,0
NR_00000077,nuclear_receptor,D00462,hsa2099,22,1,1,22,0
NR_00000078,nuclear_receptor,D00506,hsa2099,23,1,1,23,0
NR_00000079,nuclear_receptor,D00554,hsa2099,24,1,1,24,1
NR_00000080,nuclear_receptor,D00565,hsa2099,25,1,1,25,0
NR_00000081,nuclear_receptor,D00577,hsa2099,26,1,1,26,1
NR_00000082,nuclear_receptor,D00585,hsa2099,27,1,1,27,0
NR_00000083,nuclear_receptor,D00586,hsa2099,28,1,1,28,0
NR_00000084,nuclear_receptor,D00596,hsa2099,29,1,1,29,0
NR_00000085,nuclear_receptor,D00627,hsa2099,30,1,1,30,0
NR_00000086,nuclear_receptor,D00690,hsa2099,31,1,1,31,0
NR_00000087,nuclear_receptor,D00730,hsa2099,32,1,1,32,0
NR_00000088,nuclear_receptor,D00898,hsa2099,33,1,1,33,1
NR_00000089,nuclear_receptor,D00930,hsa2099,34,1,1,34,0
NR_00000090,nuclear_receptor,D00950,hsa2099,35,1,1,35,1
NR_00000091,nuclear_receptor,D00951,hsa2099,36,1,1,36,0
NR_00000092,nuclear_receptor,D00954,hsa2099,37,1,1,37,1
NR_00000093,nuclear_receptor,D00956,hsa2099,38,1,1,38,0
NR_00000094,nuclear_receptor,D00961,hsa2099,39,1,1,39,0
NR_00000095,nuclear_receptor,D00962,hsa2099,40,1,1,40,1
NR_00000096,nuclear_receptor,D00965,hsa2099,41,1,1,41,0
NR_00000097,nuclear_receptor,D01115,hsa2099,42,1,1,42,0
NR_00000098,nuclear_receptor,D01132,hsa2099,43,1,1,43,0
NR_00000099,nuclear_receptor,D01161,hsa2099,44,1,1,44,1
NR_00000100,nuclear_receptor,D01217,hsa2099,45,1,1,45,0
NR_00000101,nuclear_receptor,D01294,hsa2099,46,1,1,46,1
NR_00000102,nuclear_receptor,D01387,hsa2099,47,1,1,47,0
NR_00000103,nuclear_receptor,D01441,hsa2099,48,1,1,48,0
NR_00000104,nuclear_receptor,D01689,hsa2099,49,1,1,49,0
NR_00000105,nuclear_receptor,D02217,hsa2099,50,1,1,50,1
NR_00000106,nuclear_receptor,D02367,hsa2099,51,1,1,51,1
NR_00000107,nuclear_receptor,D04066,hsa2099,52,1,1,52,1
NR_00000108,nuclear_receptor,D05341,hsa2099,53,1,1,53,0
NR_00000109,nuclear_receptor,D00040,hsa2100,0,2,2,0,0
NR_00000110,nuclear_receptor,D00066,hsa2100,1,2,2,1,0
NR_00000111,nuclear_receptor,D00067,hsa2100,2,2,2,2,0
NR_00000112,nuclear_receptor,D00075,hsa2100,3,2,2,3,0
NR_00000113,nuclear_receptor,D00088,hsa2100,4,2,2,4,0
NR_00000114,nuclear_receptor,D00094,hsa2100,5,2,2,5,0
NR_00000115,nuclear_receptor,D00105,hsa2100,6,2,2,6,1
NR_00000116,nuclear_receptor,D00129,hsa2100,7,2,2,7,0
NR_00000117,nuclear_receptor,D00143,hsa2100,8,2,2,8,0
NR_00000118,nuclear_receptor,D00163,hsa2100,9,2,2,9,0
NR_00000119,nuclear_receptor,D00182,hsa2100,10,2,2,10,0
NR_00000120,nuclear_receptor,D00187,hsa2100,11,2,2,11,0
NR_00000121,nuclear_receptor,D00188,hsa2100,12,2,2,12,0
NR_00000122,nuclear_receptor,D00211,hsa2100,13,2,2,13,0
NR_00000123,nuclear_receptor,D00246,hsa2100,14,2,2,14,0
NR_00000124,nuclear_receptor,D00279,hsa2100,15,2,2,15,0
NR_00000125,nuclear_receptor,D00299,hsa2100,16,2,2,16,0
NR_00000126,nuclear_receptor,D00312,hsa2100,17,2,2,17,0
NR_00000127,nuclear_receptor,D00316,hsa2100,18,2,2,18,0
NR_00000128,nuclear_receptor,D00327,hsa2100,19,2,2,19,0
NR_00000129,nuclear_receptor,D00348,hsa2100,20,2,2,20,0
NR_00000130,nuclear_receptor,D00443,hsa2100,21,2,2,21,0
NR_00000131,nuclear_receptor,D00462,hsa2100,22,2,2,22,0
NR_00000132,nuclear_receptor,D00506,hsa2100,23,2,2,23,0
NR_00000133,nuclear_receptor,D00554,hsa2100,24,2,2,24,0
NR_00000134,nuclear_receptor,D00565,hsa2100,25,2,2,25,0
NR_00000135,nuclear_receptor,D00577,hsa2100,26,2,2,26,1
NR_00000136,nuclear_receptor,D00585,hsa2100,27,2,2,27,0
NR_00000137,nuclear_receptor,D00586,hsa2100,28,2,2,28,0
NR_00000138,nuclear_receptor,D00596,hsa2100,29,2,2,29,0
NR_00000139,nuclear_receptor,D00627,hsa2100,30,2,2,30,0
NR_00000140,nuclear_receptor,D00690,hsa2100,31,2,2,31,0
NR_00000141,nuclear_receptor,D00730,hsa2100,32,2,2,32,0
NR_00000142,nuclear_receptor,D00898,hsa2100,33,2,2,33,0
NR_00000143,nuclear_receptor,D00930,hsa2100,34,2,2,34,0
NR_00000144,nuclear_receptor,D00950,hsa2100,35,2,2,35,0
NR_00000145,nuclear_receptor,D00951,hsa2100,36,2,2,36,0
NR_00000146,nuclear_receptor,D00954,hsa2100,37,2,2,37,0
NR_00000147,nuclear_receptor,D00956,hsa2100,38,2,2,38,0
NR_00000148,nuclear_receptor,D00961,hsa2100,39,2,2,39,0
NR_00000149,nuclear_receptor,D00962,hsa2100,40,2,2,40,0
NR_00000150,nuclear_receptor,D00965,hsa2100,41,2,2,41,0
NR_00000151,nuclear_receptor,D01115,hsa2100,42,2,2,42,0
NR_00000152,nuclear_receptor,D01132,hsa2100,43,2,2,43,0
NR_00000153,nuclear_receptor,D01161,hsa2100,44,2,2,44,1
NR_00000154,nuclear_receptor,D01217,hsa2100,45,2,2,45,0
NR_00000155,nuclear_receptor,D01294,hsa2100,46,2,2,46,0
NR_00000156,nuclear_receptor,D01387,hsa2100,47,2,2,47,0
NR_00000157,nuclear_receptor,D01441,hsa2100,48,2,2,48,0
NR_00000158,nuclear_receptor,D01689,hsa2100,49,2,2,49,0
NR_00000159,nuclear_receptor,D02217,hsa2100,50,2,2,50,1
NR_00000160,nuclear_receptor,D02367,hsa2100,51,2,2,51,0
NR_00000161,nuclear_receptor,D04066,hsa2100,52,2,2,52,1
NR_00000162,nuclear_receptor,D05341,hsa2100,53,2,2,53,0
NR_00000163,nuclear_receptor,D00040,hsa2101,0,3,3,0,0
NR_00000164,nuclear_receptor,D00066,hsa2101,1,3,3,1,0
NR_00000165,nuclear_receptor,D00067,hsa2101,2,3,3,2,0
NR_00000166,nuclear_receptor,D00075,hsa2101,3,3,3,3,0
NR_00000167,nuclear_receptor,D00088,hsa2101,4,3,3,4,0
NR_00000168,nuclear_receptor,D00094,hsa2101,5,3,3,5,0
NR_00000169,nuclear_receptor,D00105,hsa2101,6,3,3,6,0
NR_00000170,nuclear_receptor,D00129,hsa2101,7,3,3,7,0
NR_00000171,nuclear_receptor,D00143,hsa2101,8,3,3,8,0
NR_00000172,nuclear_receptor,D00163,hsa2101,9,3,3,9,0
NR_00000173,nuclear_receptor,D00182,hsa2101,10,3,3,10,0
NR_00000174,nuclear_receptor,D00187,hsa2101,11,3,3,11,0
NR_00000175,nuclear_receptor,D00188,hsa2101,12,3,3,12,0
NR_00000176,nuclear_receptor,D00211,hsa2101,13,3,3,13,0
NR_00000177,nuclear_receptor,D00246,hsa2101,14,3,3,14,0
NR_00000178,nuclear_receptor,D00279,hsa2101,15,3,3,15,0
NR_00000179,nuclear_receptor,D00299,hsa2101,16,3,3,16,0
NR_00000180,nuclear_receptor,D00312,hsa2101,17,3,3,17,0
NR_00000181,nuclear_receptor,D00316,hsa2101,18,3,3,18,0
NR_00000182,nuclear_receptor,D00327,hsa2101,19,3,3,19,0
NR_00000183,nuclear_receptor,D00348,hsa2101,20,3,3,20,0
NR_00000184,nuclear_receptor,D00443,hsa2101,21,3,3,21,0
NR_00000185,nuclear_receptor,D00462,hsa2101,22,3,3,22,0
NR_00000186,nuclear_receptor,D00506,hsa2101,23,3,3,23,0
NR_00000187,nuclear_receptor,D00554,hsa2101,24,3,3,24,0
NR_00000188,nuclear_receptor,D00565,hsa2101,25,3,3,25,0
NR_00000189,nuclear_receptor,D00577,hsa2101,26,3,3,26,1
NR_00000190,nuclear_receptor,D00585,hsa2101,27,3,3,27,0
NR_00000191,nuclear_receptor,D00586,hsa2101,28,3,3,28,0
NR_00000192,nuclear_receptor,D00596,hsa2101,29,3,3,29,0
NR_00000193,nuclear_receptor,D00627,hsa2101,30,3,3,30,0
NR_00000194,nuclear_receptor,D00690,hsa2101,31,3,3,31,0
NR_00000195,nuclear_receptor,D00730,hsa2101,32,3,3,32,0
NR_00000196,nuclear_receptor,D00898,hsa2101,33,3,3,33,0
NR_00000197,nuclear_receptor,D00930,hsa2101,34,3,3,34,0
NR_00000198,nuclear_receptor,D00950,hsa2101,35,3,3,35,0
NR_00000199,nuclear_receptor,D00951,hsa2101,36,3,3,36,0
NR_00000200,nuclear_receptor,D00954,hsa2101,37,3,3,37,0
NR_00000201,nuclear_receptor,D00956,hsa2101,38,3,3,38,0
NR_00000202,nuclear_receptor,D00961,hsa2101,39,3,3,39,0
NR_00000203,nuclear_receptor,D00962,hsa2101,40,3,3,40,0
NR_00000204,nuclear_receptor,D00965,hsa2101,41,3,3,41,0
NR_00000205,nuclear_receptor,D01115,hsa2101,42,3,3,42,0
NR_00000206,nuclear_receptor,D01132,hsa2101,43,3,3,43,0
NR_00000207,nuclear_receptor,D01161,hsa2101,44,3,3,44,0
NR_00000208,nuclear_receptor,D01217,hsa2101,45,3,3,45,0
NR_00000209,nuclear_receptor,D01294,hsa2101,46,3,3,46,0
NR_00000210,nuclear_receptor,D01387,hsa2101,47,3,3,47,0
NR_00000211,nuclear_receptor,D01441,hsa2101,48,3,3,48,0
NR_00000212,nuclear_receptor,D01689,hsa2101,49,3,3,49,0
NR_00000213,nuclear_receptor,D02217,hsa2101,50,3,3,50,0
NR_00000214,nuclear_receptor,D02367,hsa2101,51,3,3,51,0
NR_00000215,nuclear_receptor,D04066,hsa2101,52,3,3,52,0
NR_00000216,nuclear_receptor,D05341,hsa2101,53,3,3,53,0
NR_00000217,nuclear_receptor,D00040,hsa2103,0,4,4,0,0
NR_00000218,nuclear_receptor,D00066,hsa2103,1,4,4,1,0
NR_00000219,nuclear_receptor,D00067,hsa2103,2,4,4,2,0
NR_00000220,nuclear_receptor,D00075,hsa2103,3,4,4,3,0
NR_00000221,nuclear_receptor,D00088,hsa2103,4,4,4,4,0
NR_00000222,nuclear_receptor,D00094,hsa2103,5,4,4,5,0
NR_00000223,nuclear_receptor,D00105,hsa2103,6,4,4,6,0
NR_00000224,nuclear_receptor,D00129,hsa2103,7,4,4,7,0
NR_00000225,nuclear_receptor,D00143,hsa2103,8,4,4,8,0
NR_00000226,nuclear_receptor,D00163,hsa2103,9,4,4,9,0
NR_00000227,nuclear_receptor,D00182,hsa2103,10,4,4,10,0
NR_00000228,nuclear_receptor,D00187,hsa2103,11,4,4,11,0
NR_00000229,nuclear_receptor,D00188,hsa2103,12,4,4,12,0
NR_00000230,nuclear_receptor,D00211,hsa2103,13,4,4,13,0
NR_00000231,nuclear_receptor,D00246,hsa2103,14,4,4,14,0
NR_00000232,nuclear_receptor,D00279,hsa2103,15,4,4,15,0
NR_00000233,nuclear_receptor,D00299,hsa2103,16,4,4,16,0
NR_00000234,nuclear_receptor,D00312,hsa2103,17,4,4,17,0
NR_00000235,nuclear_receptor,D00316,hsa2103,18,4,4,18,0
NR_00000236,nuclear_receptor,D00327,hsa2103,19,4,4,19,0
NR_00000237,nuclear_receptor,D00348,hsa2103,20,4,4,20,0
NR_00000238,nuclear_receptor,D00443,hsa2103,21,4,4,21,0
NR_00000239,nuclear_receptor,D00462,hsa2103,22,4,4,22,0
NR_00000240,nuclear_receptor,D00506,hsa2103,23,4,4,23,0
NR_00000241,nuclear_receptor,D00554,hsa2103,24,4,4,24,0
NR_00000242,nuclear_receptor,D00565,hsa2103,25,4,4,25,0
NR_00000243,nuclear_receptor,D00577,hsa2103,26,4,4,26,1
NR_00000244,nuclear_receptor,D00585,hsa2103,27,4,4,27,0
NR_00000245,nuclear_receptor,D00586,hsa2103,28,4,4,28,0
NR_00000246,nuclear_receptor,D00596,hsa2103,29,4,4,29,0
NR_00000247,nuclear_receptor,D00627,hsa2103,30,4,4,30,0
NR_00000248,nuclear_receptor,D00690,hsa2103,31,4,4,31,0
NR_00000249,nuclear_receptor,D00730,hsa2103,32,4,4,32,0
NR_00000250,nuclear_receptor,D00898,hsa2103,33,4,4,33,0
